Year,Month,Day,RMM1,RMM2,Phase,Amplitude
1974,6,1,1.63447,1.20304,5,2.02948
1974,6,2,1.60289,1.01512,5,1.89729
1974,6,3,1.51625,1.08551,5,1.86476
1974,6,4,1.50981,1.03573,5,1.83092
1974,6,5,1.55906,1.30518,5,2.0332601
1974,6,6,1.20626,1.62889,6,2.0269001
1974,6,7,0.61110097,1.7224801,6,1.82767
1974,6,8,0.326395,1.77818,6,1.8078901
1974,6,9,0.0938282013,1.35694,6,1.36018
1974,6,10,-0.0861262977,0.77547598,7,0.78024399
1974,6,11,0.111394,0.389534,6,0.405148
1974,6,12,0.120489,0.0138852,5,0.121286
1974,6,13,0.0192805994,-0.21766999,3,0.218519
1974,6,14,-0.10436,-0.38104999,2,0.395082
1974,6,15,-0.18294001,-0.64534998,2,0.670775
1974,6,16,-0.23596001,-0.47106999,2,0.52686501
1974,6,17,-0.49869001,-0.48752001,1,0.697402
1974,6,18,-0.56980002,-0.36398,1,0.67613399
1974,6,19,-0.69502997,-0.35556999,1,0.78070498
1974,6,20,-0.72915,-0.47646001,1,0.87101501
1974,6,21,-1.09443,-0.83275002,1,1.37523
1974,6,22,-1.09851,-0.83867002,1,1.3820601
1974,6,23,-1.06244,-0.50405002,1,1.17594
1974,6,24,-0.88507003,-0.32444,1,0.94265801
1974,6,25,-0.76582003,-0.33355001,1,0.83530402
1974,6,26,-0.83446997,-0.41418001,1,0.93160701
1974,6,27,-0.80129999,-0.35989001,1,0.87841302
1974,6,28,-0.56441998,-0.29798999,1,0.63824999
1974,6,29,-0.0970496982,-0.40189001,2,0.41344199
1974,6,30,0.00914870016,-0.24384999,3,0.244017
1974,7,1,0.26054999,0.087101303,5,0.27472401
1974,7,2,0.26702401,0.23012,5,0.352501
1974,7,3,0.355582,0.387155,6,0.52566898
1974,7,4,0.844383,0.42613801,5,0.94582099
1974,7,5,1.1206599,0.40039399,5,1.19004
1974,7,6,1.07635,0.59540701,5,1.23006
1974,7,7,0.81290197,0.870444,6,1.191
1974,7,8,0.431732,1.08825,6,1.17076
1974,7,9,0.0810154006,1.17053,6,1.1733299
1974,7,10,-0.12074,1.12966,7,1.13609
1974,7,11,-0.27891999,0.99857098,7,1.03679
1974,7,12,-0.13957,0.70270902,7,0.71643502
1974,7,13,-0.20472001,0.40228,7,0.45137301
1974,7,14,-0.19937,0.110841,8,0.22811399
1974,7,15,-0.0952897966,-0.13186,2,0.162691
1974,7,16,-0.10831,-0.31318,2,0.33138201
1974,7,17,-0.00567336986,-0.50314999,2,0.50318003
1974,7,18,0.17968801,-0.44850999,3,0.48316699
1974,7,19,0.285321,-0.48164999,3,0.55981499
1974,7,20,0.33098501,-0.90205002,3,0.96085697
1974,7,21,0.364833,-1.29166,3,1.34219
1974,7,22,0.34641901,-1.20997,3,1.25858
1974,7,23,0.39280599,-1.04746,3,1.11869
1974,7,24,0.44716999,-0.87783003,3,0.98516703
1974,7,25,0.45279199,-0.83618999,3,0.95091301
1974,7,26,0.556867,-0.80813003,3,0.98141599
1974,7,27,0.73983401,-0.60003,4,0.95257097
1974,7,28,0.66544199,-0.42067999,4,0.78726202
1974,7,29,0.78544903,-0.13224,4,0.79650301
1974,7,30,1.13624,0.0574810989,5,1.1377
1974,7,31,1.2519799,0.66262197,5,1.41652
1974,8,1,1.30887,0.96449101,5,1.62585
1974,8,2,1.33118,1.27768,5,1.84513
1974,8,3,1.33971,1.39658,6,1.93527
1974,8,4,1.24842,1.59883,6,2.0284901
1974,8,5,0.83587003,1.6715,6,1.86884
1974,8,6,0.53584999,1.73989,6,1.8205301
1974,8,7,0.123568,1.77426,6,1.77856
