Year,Month,Season,SST_Total,ONI_Anomaly
1950,1,DJF,25.01,-1.32
1950,2,JFM,25.36,-1.2
1950,3,FMA,25.88,-1.12
1950,4,MAM,26.24,-1.08
1950,5,AMJ,26.35,-1.1
1950,6,MJJ,26.32,-0.9
1950,7,JJA,26.24,-0.62
1950,8,JAS,25.94,-0.57
1950,9,ASO,25.76,-0.56
1950,10,SON,25.6,-0.62
1950,11,OND,25.55,-0.66
1950,12,NDJ,25.41,-0.79
1951,1,DJF,25.67,-0.66
1951,2,JFM,26.2,-0.36
1951,3,FMA,26.96,-0.04
1951,4,MAM,27.48,0.16
1951,5,AMJ,27.72,0.27
1951,6,MJJ,27.72,0.5
1951,7,JJA,27.57,0.71
1951,8,JAS,27.41,0.9
1951,9,ASO,27.34,1.02
1951,10,SON,27.25,1.03
1951,11,OND,27.18,0.96
1951,12,NDJ,26.91,0.71
1952,1,DJF,26.86,0.52
1952,2,JFM,26.82,0.27
1952,3,FMA,27.33,0.33
1952,4,MAM,27.5,0.18
1952,5,AMJ,27.38,-0.07
1952,6,MJJ,26.78,-0.44
1952,7,JJA,26.41,-0.45
1952,8,JAS,26.31,-0.2
1952,9,ASO,26.35,0.03
1952,10,SON,26.26,0.04
1952,11,OND,26.11,-0.11
1952,12,NDJ,26.25,0.06
1953,1,DJF,26.58,0.25
1953,2,JFM,27.06,0.5
1953,3,FMA,27.48,0.48
1953,4,MAM,27.88,0.56
1953,5,AMJ,28.22,0.77
1953,6,MJJ,27.96,0.74
1953,7,JJA,27.49,0.63
1953,8,JAS,27.19,0.68
1953,9,ASO,26.91,0.59
1953,10,SON,27.0,0.78
1953,11,OND,26.74,0.52
1953,12,NDJ,26.76,0.56
1954,1,DJF,26.74,0.41
1954,2,JFM,26.91,0.35
1954,3,FMA,27.01,0.01
1954,4,MAM,27.04,-0.27
1954,5,AMJ,26.97,-0.48
1954,6,MJJ,26.74,-0.48
1954,7,JJA,26.18,-0.67
1954,8,JAS,25.68,-0.83
1954,9,ASO,25.58,-0.73
1954,10,SON,25.7,-0.52
1954,11,OND,25.82,-0.4
1954,12,NDJ,25.76,-0.44
1955,1,DJF,25.83,-0.5
1955,2,JFM,26.08,-0.48
1955,3,FMA,26.42,-0.58
1955,4,MAM,26.56,-0.76
1955,5,AMJ,26.67,-0.78
1955,6,MJJ,26.34,-0.88
1955,7,JJA,26.13,-0.72
1955,8,JAS,25.59,-0.92
1955,9,ASO,25.21,-1.11
1955,10,SON,24.78,-1.44
1955,11,OND,24.63,-1.59
1955,12,NDJ,24.73,-1.51
1956,1,DJF,25.2,-1.17
1956,2,JFM,25.82,-0.81
1956,3,FMA,26.47,-0.57
1956,4,MAM,26.84,-0.51
1956,5,AMJ,27.0,-0.49
1956,6,MJJ,26.81,-0.47
1956,7,JJA,26.37,-0.55
1956,8,JAS,26.02,-0.52
1956,9,ASO,25.9,-0.43
1956,10,SON,25.85,-0.39
1956,11,OND,25.87,-0.37
1956,12,NDJ,25.87,-0.39
1957,1,DJF,26.11,-0.27
1957,2,JFM,26.57,-0.06
1957,3,FMA,27.3,0.26
1957,4,MAM,27.99,0.63
1957,5,AMJ,28.21,0.72
1957,6,MJJ,28.09,0.82
1957,7,JJA,27.88,0.96
1957,8,JAS,27.57,1.03
1957,9,ASO,27.45,1.12
1957,10,SON,27.38,1.15
1957,11,OND,27.63,1.39
1957,12,NDJ,27.87,1.62
1958,1,DJF,28.07,1.69
1958,2,JFM,28.21,1.59
1958,3,FMA,28.21,1.17
1958,4,MAM,28.2,0.84
1958,5,AMJ,28.06,0.57
1958,6,MJJ,27.77,0.49
1958,7,JJA,27.36,0.43
1958,8,JAS,26.86,0.32
1958,9,ASO,26.61,0.28
1958,10,SON,26.53,0.3
1958,11,OND,26.6,0.36
1958,12,NDJ,26.82,0.56
1959,1,DJF,26.99,0.6
1959,2,JFM,27.27,0.64
1959,3,FMA,27.51,0.48
1959,4,MAM,27.75,0.39
1959,5,AMJ,27.73,0.24
1959,6,MJJ,27.29,0.02
1959,7,JJA,26.74,-0.19
1959,8,JAS,26.31,-0.23
1959,9,ASO,26.29,-0.04
1959,10,SON,26.34,0.11
1959,11,OND,26.47,0.23
1959,12,NDJ,26.4,0.14
1960,1,DJF,26.4,0.02
1960,2,JFM,26.65,0.03
1960,3,FMA,27.1,0.06
1960,4,MAM,27.52,0.17
1960,5,AMJ,27.53,0.04
1960,6,MJJ,27.27,0.0
1960,7,JJA,26.93,0.01
1960,8,JAS,26.69,0.15
1960,9,ASO,26.52,0.19
1960,10,SON,26.32,0.08
1960,11,OND,26.17,-0.07
1960,12,NDJ,26.16,-0.07
1961,1,DJF,26.34,0.0
1961,2,JFM,26.6,0.03
1961,3,FMA,26.98,0.01
1961,4,MAM,27.33,0.05
1961,5,AMJ,27.62,0.22
1961,6,MJJ,27.41,0.22
1961,7,JJA,26.94,0.08
1961,8,JAS,26.32,-0.2
1961,9,ASO,26.01,-0.32
1961,10,SON,26.02,-0.22
1961,11,OND,26.09,-0.11
1961,12,NDJ,26.14,-0.05
1962,1,DJF,26.16,-0.16
1962,2,JFM,26.4,-0.17
1962,3,FMA,26.83,-0.15
1962,4,MAM,27.09,-0.2
1962,5,AMJ,27.21,-0.19
1962,6,MJJ,27.06,-0.13
